,X,y
0,3.75,1.23
1,9.51,3.93
2,7.32,4.53
3,5.99,6.21
4,1.56,1.82
5,1.56,-1.1
6,0.58,1.05
7,8.66,7.13
8,6.01,2.74
9,7.08,5.56
10,0.21,0.56
11,9.7,4.8
12,8.32,6.84
13,2.12,2.91
14,1.82,3.74
15,1.83,3.69
16,3.04,-0.33
17,5.25,2.1
18,4.32,4.35
19,2.91,3.36
20,6.12,5.61
21,1.39,8.98
22,2.92,3.49
23,3.66,5.13
24,4.56,5.4
25,7.85,7.1
26,2.0,1.07
27,5.14,5.42
28,5.92,2.9
29,0.46,0.15
30,6.08,3.59
31,1.71,1.66
32,0.65,5.38
33,9.49,3.21
34,9.66,8.43
35,8.08,2.73
36,3.05,1.49
37,0.98,3.16
38,6.84,5.22
39,4.4,1.22
40,1.22,-0.28
41,4.95,5.12
42,0.34,-0.92
43,9.09,7.1
44,2.59,2.2
45,6.63,3.64
46,3.12,6.77
47,5.2,5.21
48,5.47,0.08
49,1.85,1.97
50,9.7,5.77
51,7.75,7.43
52,9.39,5.29
53,8.95,6.34
54,5.98,5.5
55,9.22,8.49
56,0.88,-1.48
57,1.96,1.0
58,0.45,-0.33
59,3.25,1.27
60,3.89,6.55
61,2.71,3.01
62,8.29,3.58
63,3.57,4.63
64,2.81,6.51
65,5.43,6.17
66,1.41,-1.75
67,8.02,4.95
68,0.75,3.36
69,9.87,5.79
70,7.72,6.59
71,1.99,3.24
72,0.06,-1.51
73,8.15,5.89
74,7.07,-1.23
75,7.29,3.35
76,7.71,5.19
77,0.74,-1.68
78,3.58,6.07
79,1.16,-1.75
80,8.63,5.46
81,6.23,4.92
82,3.31,5.5
83,0.64,-2.12
84,3.11,4.8
85,3.25,2.6
86,7.3,3.45
87,6.38,5.69
88,8.87,6.91
89,4.72,2.4
90,1.2,1.28
91,7.13,4.52
92,7.61,5.85
93,5.61,5.55
94,7.71,8.87
95,4.94,1.28
96,5.23,8.23
97,4.28,-0.61
98,0.25,0.17
99,1.08,2.23
100,0.31,1.08
101,6.36,3.51
102,3.14,2.08
103,5.09,2.88
104,9.08,5.48
105,2.49,3.74
106,4.1,3.88
107,7.56,4.21
108,2.29,3.7
109,0.77,1.45
110,2.9,3.96
111,1.61,2.69
112,9.3,5.15
113,8.08,4.84
114,6.33,6.23
115,8.71,7.62
116,8.04,5.89
117,1.87,1.84
118,8.93,9.11
119,5.39,2.89
120,8.07,7.04
121,8.96,6.17
122,3.18,2.09
123,1.1,3.27
124,2.28,3.55
125,4.27,4.92
126,8.18,8.64
127,8.61,6.37
128,0.07,1.71
129,5.11,3.26
130,4.17,3.87
131,2.22,1.59
132,1.2,1.33
133,3.38,3.86
134,9.43,5.26
135,3.23,6.75
136,5.19,1.92
137,7.03,2.79
138,3.64,5.16
139,9.72,8.69
140,9.62,8.28
141,2.52,3.32
142,4.97,3.75
143,3.01,0.61
144,2.85,2.45
145,0.37,-0.8
146,6.1,6.52
147,5.03,3.53
148,0.51,-0.99
149,2.79,1.61
150,9.08,7.48
151,2.4,0.85
152,1.45,-0.33
153,4.89,4.21
154,9.86,7.69
155,2.42,0.98
156,6.72,4.06
157,7.62,6.1
158,2.38,-0.93
159,7.28,2.58
160,3.68,1.44
161,6.32,4.3
162,6.34,5.36
163,5.36,7.0
164,0.9,2.65
165,8.35,5.83
166,3.21,2.51
167,1.87,-0.4
168,0.41,0.55
169,5.91,3.86
170,6.78,5.69
171,0.17,-1.24
172,5.12,4.92
173,2.26,4.95
174,6.45,4.6
175,1.74,2.32
176,6.91,6.52
177,3.87,2.21
178,9.37,7.31
179,1.38,1.29
180,3.41,2.88
181,1.13,-0.46
182,9.25,6.82
183,8.77,7.43
184,2.58,5.01
185,6.6,6.84
186,8.17,10.33
187,5.55,2.65
188,5.3,5.75
189,2.42,2.36
190,0.93,5.33
191,8.97,4.96
192,9.0,4.92
193,6.33,3.53
194,3.39,-1.57
195,3.49,1.69
196,7.26,3.86
197,8.97,6.88
198,8.87,7.19
199,7.8,9.51
200,6.42,6.69
201,0.84,-0.27
202,1.62,-0.36
203,8.99,7.58
204,6.06,1.9
205,0.09,4.03
206,1.01,3.37
207,6.64,4.01
208,0.05,-3.09
209,1.61,4.13
210,5.49,3.91
211,6.92,7.62
212,6.52,1.68
213,2.24,0.67
214,7.12,5.29
215,2.37,2.05
216,3.25,1.67
217,7.46,6.77
218,6.5,2.71
219,8.49,5.96
220,6.58,5.15
221,5.68,5.3
222,0.94,2.38
223,3.68,0.63
224,2.65,-0.91
225,2.44,4.56
226,9.73,7.78
227,3.93,1.55
228,8.92,9.65
229,6.31,4.95
230,7.95,8.22
231,5.03,3.96
232,5.77,8.46
233,4.93,7.26
234,1.95,1.17
235,7.22,7.3
236,2.81,3.56
237,0.24,3.21
238,6.45,2.89
239,1.77,2.91
240,9.4,9.0
241,9.54,3.46
242,9.15,4.34
243,3.7,-1.19
244,0.15,-0.13
245,9.28,8.23
246,4.28,6.3
247,9.67,7.22
248,9.64,10.31
249,8.53,3.51
